epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.682,0.90751,2.08513,1.19121,0.94055,0.51707,0.83789,0.60851,0.96279,2.72439,1.06288,0.00062,0.00062,0.00062
2,287.887,0.98549,1.45534,1.21845,0.65383,0.70943,0.65338,0.4266,1.14768,2.28136,1.21269,0.0012101,0.0012101,0.0012101
3,431.87,1.01468,1.37403,1.21849,0.81545,0.71129,0.83889,0.54359,1.15544,2.10734,1.42431,0.00174952,0.00174952,0.00174952
4,575.495,1.01185,1.82299,1.19126,0.72713,0.54596,0.62429,0.39465,1.37814,2.48967,1.7382,0.0017624,0.0017624,0.0017624
5,717.771,1.06157,1.22255,1.26911,0.8414,0.75051,0.8162,0.57465,1.0708,2.0883,1.24506,0.0016832,0.0016832,0.0016832
6,860.252,0.96636,1.03527,1.17818,0.8591,0.83282,0.89851,0.65474,0.97723,1.36811,1.2038,0.001604,0.001604,0.001604
7,1002.75,0.94509,0.94335,1.17352,0.92098,0.73915,0.87396,0.61819,1.08106,1.2171,1.22384,0.0015248,0.0015248,0.0015248
8,1145.03,0.95413,0.88985,1.1847,0.95729,0.83902,0.93078,0.71409,0.84023,1.45159,1.09984,0.0014456,0.0014456,0.0014456
9,1288.42,0.87382,0.81861,1.13499,0.97944,0.8878,0.96906,0.73157,0.88483,0.84383,1.0787,0.0013664,0.0013664,0.0013664
10,1431.23,0.87759,0.78066,1.12871,0.94846,0.87805,0.95801,0.68624,0.95869,0.85272,1.1151,0.0012872,0.0012872,0.0012872
11,1573.18,0.81785,0.71107,1.10542,0.86197,0.84878,0.93792,0.64801,0.95283,0.87495,1.14864,0.001208,0.001208,0.001208
12,1715.99,0.8398,0.69991,1.11288,0.9687,0.85366,0.96762,0.7219,0.82395,0.74034,1.02441,0.0011288,0.0011288,0.0011288
13,1858.43,0.8753,0.71487,1.13701,0.98763,0.9122,0.98248,0.77331,0.78533,0.65145,1.00773,0.0010496,0.0010496,0.0010496
14,2008.1,0.76307,0.6286,1.07651,0.9621,0.86692,0.94148,0.71081,0.85235,0.73489,1.08399,0.0009704,0.0009704,0.0009704
15,2152.66,0.7652,0.61156,1.07279,0.95925,0.93659,0.97818,0.73936,0.8503,0.64762,1.07032,0.0008912,0.0008912,0.0008912
16,2297.92,0.66801,0.569,0.99619,0.9521,0.93171,0.97329,0.77351,0.80194,0.6189,1.04023,0.000812,0.000812,0.000812
17,2441.38,0.63132,0.50897,0.96152,0.95971,0.92952,0.97823,0.77556,0.78576,0.59589,1.00907,0.0007328,0.0007328,0.0007328
18,2586.24,0.63104,0.50272,0.9617,0.9589,0.91051,0.9749,0.76888,0.7532,0.57138,1.03109,0.0006536,0.0006536,0.0006536
19,2728.05,0.5989,0.46104,0.93777,0.98001,0.95663,0.99216,0.79846,0.75007,0.52629,1.01853,0.0005744,0.0005744,0.0005744
20,2868.96,0.58689,0.46141,0.93997,0.99152,0.94634,0.99144,0.80115,0.72869,0.48548,0.99921,0.0004952,0.0004952,0.0004952
21,3011.47,0.57576,0.43404,0.94045,0.95991,0.94146,0.98704,0.80195,0.72858,0.52813,1.02651,0.000416,0.000416,0.000416
22,3154.05,0.55379,0.40696,0.91499,0.95699,0.97693,0.98941,0.79256,0.71813,0.48693,1.01027,0.0003368,0.0003368,0.0003368
23,3296.38,0.5378,0.395,0.91166,0.97284,0.9561,0.99058,0.8151,0.71496,0.46667,0.99621,0.0002576,0.0002576,0.0002576
24,3436.85,0.52785,0.38211,0.91774,0.96058,0.95083,0.98775,0.82128,0.69891,0.46412,0.9953,0.0001784,0.0001784,0.0001784
25,3578.94,0.51698,0.36715,0.89362,0.96667,0.94634,0.98653,0.82392,0.69624,0.45011,0.98965,9.92e-05,9.92e-05,9.92e-05
